ActionId,ActionReason,ActionReasonCode,ActionReasonId,ActiveStatus,ActiveStatusMeaning,AnnualWorkingDurationUnits,AnnualWorkingDurationUnitsMeaning,BillToSiteFlag,CreatedBy,CreationDate,Description,DesignatedReceiverId,DesignatedReceiverName,DesignatedReceiverNumber,EffectiveEndDate,EffectiveStartDate,EmailAddress,EmployeeLocationFlag,FaxAreaCode,FaxCountryCode,FaxExtension,FaxNumber,GeoHierarchyNodeCode,GeoHierarchyNodeName,InventoryOrganizationId,InventoryOrganizationName,LastUpdateDate,LastUpdatedBy,LocationCode,LocationId,LocationName,MainPhoneAreaCode,MainPhoneCountryCode,MainPhoneExtension,MainPhoneNumber,OfficeSiteFlag,OfficialLanguageCode,OfficialLanguageMeaning,OtherPhoneAreaCode,OtherPhoneCountryCode,OtherPhoneExtension,OtherPhoneNumber,ReceivingSiteFlag,SetCode,SetId,SetName,ShipToLocationCode,ShipToLocationId,ShipToLocationName,ShipToSiteFlag,StandardAnnualWorkingDuration,StandardWorkingFrequency,StandardWorkingFrequencyMeaning,StandardWorkingHours,addresses,attachments,bannerOverrideMessages,locationLegislativeEFF,locationsDFF,locationsEFFContainer
,Relocation,PER_RELOCATION,300000000192171,I,Inactive,,,False,venkat@squareup.com,2018-06-08T00:40:04+00:00,DFW Expeditors Location,,,,4712-12-31,2024-12-30,,True,,,,,,,300000002022311,DFW Warehouse,2024-12-30T20:40:51.555+00:00,block_hbs_admin@block.xyz,DFW (Expeditors),300000002011007,DFW (Expeditors),,,,,False,,,,,,,True,COMMON,0,Common Set,DFW (Expeditors),300000002011007,DFW (Expeditors),True,,,,,"[{'EffectiveStartDate': '2024-12-30', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': 'Expeditors International', 'AddressLine2': None, 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Dallas Fortworth', 'Region1': None, 'Region2': 'TX', 'Region3': None, 'Country': 'US', 'PostalCode': None, 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T00:40:06.076+00:00', 'LastUpdatedBy': 'block_hbs_admin@block.xyz', 'LastUpdateDate': '2024-12-30T20:40:52.244+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002011008, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002011007}]","[{'LocationDetailsId': 300000002011006, 'EffectiveStartDate': '2024-12-30', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,A,Active,,,True,venkat@squareup.com,2018-06-08T01:30:08+00:00,Caviar - South Bay,,,,4712-12-31,2010-01-01,,True,,,,,,,,,2018-06-08T01:31:21.153+00:00,venkat@squareup.com,Caviar - South Bay,300000002011332,Caviar - South Bay,,,,,True,,,,,,,True,COMMON,0,Common Set,Caviar - South Bay,300000002011332,Caviar - South Bay,True,,,,,"[{'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': '5451 Great America Parkway', 'AddressLine2': 'Suite 250', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Santa Clara', 'Region1': None, 'Region2': 'CA', 'Region3': None, 'Country': 'US', 'PostalCode': '95054', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T01:30:08.041+00:00', 'LastUpdatedBy': 'venkat@squareup.com', 'LastUpdateDate': '2018-06-08T01:31:21.560+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002011333, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002011332}]","[{'LocationDetailsId': 300000002011331, 'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,Relocation,PER_RELOCATION,300000000192171,I,Inactive,,,True,venkat@squareup.com,2018-06-08T01:34:37+00:00,Toronto (Expeditors),,,,4712-12-31,2024-12-30,,True,,,,,,,300000002022320,YYZ Warehouse,2024-12-30T20:42:23.657+00:00,block_hbs_admin@block.xyz,Toronto (Expeditors),300000002011488,Toronto (Expeditors),,,,,True,,,,,,,True,COMMON,0,Common Set,Toronto (Expeditors),300000002011488,Toronto (Expeditors),True,,,,,"[{'EffectiveStartDate': '2024-12-30', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': '80 Westcreek Blvd', 'AddressLine2': 'Unit 2', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Brampton', 'Region1': None, 'Region2': None, 'Region3': 'ON', 'Country': 'CA', 'PostalCode': 'L6T 0A8', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T01:34:37.037+00:00', 'LastUpdatedBy': 'block_hbs_admin@block.xyz', 'LastUpdateDate': '2024-12-30T20:42:23.915+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002011489, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002011488}]","[{'LocationDetailsId': 300000002011487, 'EffectiveStartDate': '2024-12-30', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,A,Active,,,True,venkat@squareup.com,2018-06-08T01:35:52+00:00,LAX Coresite LA1 (PoP) DC,,,,4712-12-31,2010-01-01,,True,,,,,,,,,2021-12-16T18:40:28.702+00:00,mukund1@squareup.com,LAX Coresite LA1 (PoP) DC,300000002011527,LAX Coresite LA1 (PoP) DC,,,,,True,,,,,,,True,COMMON,0,Common Set,LAX Coresite LA1 (PoP) DC,300000002011527,LAX Coresite LA1 (PoP) DC,True,,,,,"[{'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': 'Block, Inc. c/o CoreSite', 'AddressLine2': '624 S. Grand Ave, 19th Floor', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Los Angeles', 'Region1': None, 'Region2': 'CA', 'Region3': None, 'Country': 'US', 'PostalCode': '90017', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T01:35:52.036+00:00', 'LastUpdatedBy': 'mukund1@squareup.com', 'LastUpdateDate': '2021-12-16T18:40:28.958+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002011528, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002011527}]","[{'LocationDetailsId': 300000002011526, 'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,A,Active,,,True,venkat@squareup.com,2018-06-08T01:38:25+00:00,SJC2 Coresite SNC DC,,,,4712-12-31,2010-01-01,,True,,,,,,,,,2021-12-16T18:05:21.212+00:00,mukund1@squareup.com,SJC2 Coresite SNC DC,300000002011566,SJC2 Coresite SNC DC,,,,,True,,,,,,,True,COMMON,0,Common Set,SJC2 Coresite SNC DC,300000002011566,SJC2 Coresite SNC DC,True,,,,,"[{'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': 'Block, Inc. c/o CoreSite', 'AddressLine2': '2972 Stender Way', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Santa Clara', 'Region1': None, 'Region2': 'CA', 'Region3': None, 'Country': 'US', 'PostalCode': '95054', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T01:38:25.033+00:00', 'LastUpdatedBy': 'mukund1@squareup.com', 'LastUpdateDate': '2021-12-16T18:05:24.353+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002011567, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002011566}]","[{'LocationDetailsId': 300000002011565, 'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,A,Active,,,True,venkat@squareup.com,2018-06-08T01:47:26+00:00,NYC Square New York Office,,,,4712-12-31,2018-11-21,,True,,,,,,,,,2018-11-21T18:55:16.619+00:00,raghavender@squareup.com,US - NY - NY,300000002011917,US - NY - NY,,,,,True,,,,,,,True,COMMON,0,Common Set,US - NY - NY,300000002011917,US - NY - NY,True,,,,,"[{'EffectiveStartDate': '2018-11-21', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': '375 W. Broadway ', 'AddressLine2': '3rd Floor', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'New York', 'Region1': None, 'Region2': 'NY', 'Region3': None, 'Country': 'US', 'PostalCode': '10012', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T01:47:26.033+00:00', 'LastUpdatedBy': 'raghavender@squareup.com', 'LastUpdateDate': '2018-11-21T18:55:16.774+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002011918, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002011917}]","[{'LocationDetailsId': 300000002011916, 'EffectiveStartDate': '2018-11-21', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,A,Active,,,True,venkat@squareup.com,2018-06-08T01:51:25+00:00,,,,,4712-12-31,2010-01-01,,True,,,,,,,300000010119974,IMC Warehouse,2021-10-22T20:16:47.239+00:00,asaini@squareup.com,Square Inc - KILI,300000002011995,Square Inc - KILI,,,,,True,,,,,,,True,COMMON,0,Common Set,Square Inc - KILI,300000002011995,Square Inc - KILI,True,,,,,"[{'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': '4101 Yonge St', 'AddressLine2': 'Ste 710', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Toronto', 'Region1': None, 'Region2': None, 'Region3': 'ON', 'Country': 'CA', 'PostalCode': 'M2P 1N6', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T01:51:25.035+00:00', 'LastUpdatedBy': 'asaini@squareup.com', 'LastUpdateDate': '2021-10-22T20:16:52.511+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002011996, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002011995}]","[{'LocationDetailsId': 300000002011994, 'EffectiveStartDate': '2010-01-01', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,A,Active,,,True,venkat@squareup.com,2018-06-08T01:55:18+00:00,STL4,,,,4712-12-31,2018-11-21,,True,,,,,,,,,2018-11-21T18:50:15.802+00:00,raghavender@squareup.com,US - MO - St. Louis - Boyle,300000002022090,US - MO - St. Louis - Boyle,,,,,True,,,,,,,True,COMMON,0,Common Set,US - MO - St. Louis - Boyle,300000002022090,US - MO - St. Louis - Boyle,True,,,,,"[{'EffectiveStartDate': '2018-11-21', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': '4260 Forest Park Ave', 'AddressLine2': 'Suite 100', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'St. Louis', 'Region1': None, 'Region2': 'MO', 'Region3': None, 'Country': 'US', 'PostalCode': '63108', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T01:55:18.036+00:00', 'LastUpdatedBy': 'raghavender@squareup.com', 'LastUpdateDate': '2018-11-21T18:50:15.973+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002022091, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002022090}]","[{'LocationDetailsId': 300000002022089, 'EffectiveStartDate': '2018-11-21', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,I,Inactive,,,True,venkat@squareup.com,2018-06-08T04:35:05+00:00,,,,,4712-12-31,1951-01-01,,True,,,,,,,,,2022-09-08T05:26:55.708+00:00,sanjana@squareup.com,EXPEDITORS CANADA,300000002022275,EXPEDITORS CANADA,,,,,True,,,,,,,True,COMMON,0,Common Set,EXPEDITORS CANADA,300000002022275,EXPEDITORS CANADA,True,,,,,"[{'EffectiveStartDate': '1951-01-01', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': 'Square CA c/o Expeditors International', 'AddressLine2': '14 Kentview Blvd', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Brampton', 'Region1': None, 'Region2': None, 'Region3': 'ON', 'Country': 'CA', 'PostalCode': 'L6T 5S1', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-08T04:35:05.033+00:00', 'LastUpdatedBy': 'sanjana@squareup.com', 'LastUpdateDate': '2022-09-08T05:26:55.741+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000002022276, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000002022275}]","[{'LocationDetailsId': 300000002022274, 'EffectiveStartDate': '1951-01-01', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
,,,,A,Active,,,True,venkat@squareup.com,2018-06-25T05:59:16+00:00,,,,,4712-12-31,1951-01-01,,True,,,,,,,,,2018-06-25T06:00:39.555+00:00,venkat@squareup.com,Dublin,300000006793053,Dublin,,,,,True,,,,,,,True,COMMON,0,Common Set,Dublin,300000006793053,Dublin,True,,,,,"[{'EffectiveStartDate': '1951-01-01', 'EffectiveEndDate': '4712-12-31', 'AddressLine1': ""70 Sir John Rogerson's Quay"", 'AddressLine2': 'Dublin  D02 R296', 'AddressLine3': None, 'AddressLine4': None, 'TownOrCity': 'Dublin', 'Region1': None, 'Region2': None, 'Region3': None, 'Country': 'IE', 'PostalCode': 'D02 R296', 'LongPostalCode': None, 'AddlAddressAttribute1': None, 'AddlAddressAttribute2': None, 'AddlAddressAttribute3': None, 'AddlAddressAttribute4': None, 'AddlAddressAttribute5': None, 'TimezoneCode': None, 'Building': None, 'FloorNumber': None, 'CreatedBy': 'venkat@squareup.com', 'CreationDate': '2018-06-25T05:59:16.049+00:00', 'LastUpdatedBy': 'venkat@squareup.com', 'LastUpdateDate': '2018-06-25T06:00:42.177+00:00', 'ValidationStatusCode': None, 'Provider': None, 'Latitude': None, 'Longitude': None, 'ValidateAddressFlag': None, 'Timezone': None, 'LocAddressUsageId': 300000006793054, 'AddressUsageType': 'MAIN', 'AddressUsageTypeMeaning': 'Main address usage type'}]",[],[],"[{'CategoryCode': 'HCM_LOC_LEG', 'LocationId': 300000006793053}]","[{'LocationDetailsId': 300000006793052, 'EffectiveStartDate': '1951-01-01', 'EffectiveEndDate': '4712-12-31', '__FLEX_Context': None, '__FLEX_Context_DisplayValue': None}]",[{}]
